County,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,Electric Utility,Vehicle Age,Is Luxury Brand
Benton,99336,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,44100,8,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,7,1
King,98070,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,34,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
Pierce,98387,2018,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,111,33950,2,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,6,1
Pierce,98335,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,26,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,6,1
Whatcom,98226,2018,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),1,12,36800,40,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,6,0
San Juan,98245,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,44100,40,BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,7,1
Pierce,98349,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,26,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,10,1
King,98040,2018,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,45600,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
Snohomish,98272,2018,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),1,12,36800,39,PUGET SOUND ENERGY INC,6,0
Riverside,92201,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,29.17894136,NON WASHINGTON STATE ELECTRIC UTILITY,11,1
Whatcom,98240,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,42,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,10,1
King,98022,2018,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,45600,31,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
Thurston,98503,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,22,PUGET SOUND ENERGY INC,8,1
Whatcom,98230,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,42,CITY OF BLAINE - (WA)||PUD NO 1 OF WHATCOM COUNTY,10,1
Chelan,98826,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),1,19,64950,12,PUD NO 1 OF CHELAN COUNTY,6,1
Spokane,99212,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,4,BONNEVILLE POWER ADMINISTRATION||VERA IRRIGATION DISTRICT #15,10,1
Thurston,98501,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,22,PUGET SOUND ENERGY INC,11,1
Pierce,98332,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,26,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,10,1
Walla Walla,99361,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,16,PACIFICORP,8,1
Multnomah,97214,2018,BMW,740E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,90700,29.17894136,NON WASHINGTON STATE ELECTRIC UTILITY,6,1
Pierce,98335,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,26,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,8,1
Pierce,98338,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,2,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,11,1
Snohomish,98026,2010,TESLA,ROADSTER,Battery Electric Vehicle (BEV),0,245,110950,21,PUGET SOUND ENERGY INC,14,1
Snohomish,98270,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,44,PUGET SOUND ENERGY INC,10,1
Snohomish,98272,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,39,PUGET SOUND ENERGY INC,11,1
Whatcom,98225,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),0,32,39995,40,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,5,1
King,98117,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,16,52650,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,1
Benton,99353,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,8,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,11,1
Snohomish,98223,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,54950,39,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,6,1
Snohomish,98021,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),0,32,39995,1,PUGET SOUND ENERGY INC,5,1
Snohomish,98036,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,1,PUGET SOUND ENERGY INC,8,1
Clark,98664,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,49,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),6,1
Pierce,98374,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,25,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
Skagit,98274,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,10,PUGET SOUND ENERGY INC,11,1
Skagit,98273,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,40,PUGET SOUND ENERGY INC,10,1
Spokane,99206,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,4,BONNEVILLE POWER ADMINISTRATION||VERA IRRIGATION DISTRICT #15,8,1
Snohomish,98087,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,21,PUGET SOUND ENERGY INC,10,1
King,98103,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,1
Whatcom,98229,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,93,32250,40,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,7,1
Kitsap,98110,2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,16,53400,23,PUGET SOUND ENERGY INC,5,1
King,98027,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
Kitsap,98110,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,54950,23,PUGET SOUND ENERGY INC,6,1
King,98028,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),1,12,36900,46,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),5,0
Pierce,98407,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,27,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,11,1
Skagit,98273,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,40,PUGET SOUND ENERGY INC,11,1
Pierce,98407,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,265,59900,27,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,12,1
Pierce,98335,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,26,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,10,1
King,98102,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,265,59900,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),12,1
Whatcom,98225,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,42,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,8,1
Snohomish,98021,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,1,PUGET SOUND ENERGY INC,10,1
Snohomish,98258,2018,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,111,33950,44,PUGET SOUND ENERGY INC,6,1
Pierce,98321,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,31,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
Snohomish,98270,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),0,32,39995,44,PUGET SOUND ENERGY INC,5,1
Pierce,98444,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,29,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PARKLAND LIGHT & WATER COMPANY|PENINSULA LIGHT COMPANY,8,1
